ID,Type,Longitude,Latitude
HB-A33,WTG,001° 37' 57.803" E,53° 50' 29.267" N
HB-A34,WTG,001° 37' 0.843" E,53° 50' 10.395" N
HB-A35,WTG,001° 35' 38.747" E,53° 50' 10.673" N
HB-A36,WTG,001° 34' 11.908" E,53° 50' 15.204" N
HB-A37,WTG,001° 32' 51.273" E,53° 50' 11.189" N
HB-A38,WTG,001° 31' 32.462" E,53° 50' 11.410" N
HB-A39,WTG,001° 30' 10.367" E,53° 50' 11.625" N
HB-A40,WTG,001° 29' 12.627" E,53° 50' 17.137" N
HB-A41,WTG,001° 28' 18.540" E,53° 50' 11.892" N
HB-A42,WTG,001° 27' 26.514" E,53° 50' 16.601" N
HB-B33,WTG,001° 37' 33.421" E,53° 50' 51.251" N
HB-B34,WTG,001° 36' 21.448" E,53° 50' 45.899" N
HB-B35,WTG,001° 35' 13.361" E,53° 50' 33.537" N
HB-B36,WTG,001° 33' 37.899" E,53° 50' 45.810" N
HB-B37,WTG,001° 32' 8.155" E,53° 50' 49.964" N
HB-B38,WTG,001° 30' 55.137" E,53° 50' 44.954" N
HB-B39,WTG,001° 29' 14.878" E,53° 51' 1.451" N
HB-B40,WTG,001° 28' 4.042" E,53° 51' 18.685" N
HB-B41,WTG,001° 27' 17.753" E,53° 51' 6.422" N
HB-C31,WTG,001° 38' 10.651" E,53° 51' 42.659" N
HB-C33,WTG,001° 36' 52.795" E,53° 51' 27.863" N
HB-C34,WTG,001° 35' 27.289" E,53° 51' 34.674" N
HB-C35,WTG,001° 33' 43.982" E,53° 51' 53.971" N
HB-C36,WTG,001° 32' 53.096" E,53° 51' 26.106" N
HB-C37,WTG,001° 30' 48.833" E,53° 52' 1.232" N
HB-C38,WTG,001° 29' 47.174" E,53° 51' 45.985" N
HB-C40,WTG,001° 27' 23.556" E,53° 51' 54.988" N
HB-D31,WTG,001° 37' 40.702" E,53° 52' 9.651" N
HB-D34,WTG,001° 34' 54.942" E,53° 52' 3.787" N
HB-D36,WTG,001° 32' 4.396" E,53° 52' 9.877" N
HB-E30,WTG,001° 38' 20.662" E,53° 52' 39.669" N
HB-E33,WTG,001° 35' 19.727" E,53° 52' 51.654" N
HB-E35,WTG,001° 32' 38.771" E,53° 52' 52.589" N
HB-E37,WTG,001° 29' 45.853" E,53° 52' 57.758" N
HB-E39,WTG,001° 27' 32.070" E,53° 52' 33.661" N
HB-F30,WTG,001° 37' 41.387" E,53° 53' 15.052" N
HB-F31,WTG,001° 36' 22.988" E,53° 53' 19.636" N
HB-F34,WTG,001° 33' 21.917" E,53° 53' 27.435" N
HB-F36,WTG,001° 31' 1.994" E,53° 53' 5.918" N
HB-F38,WTG,001° 28' 1.461" E,53° 53' 20.796" N
HB-G28,WTG,001° 38' 34.923" E,53° 54' 0.819" N
HB-G31,WTG,001° 35' 31.457" E,53° 54' 5.997" N
HB-G33,WTG,001° 33' 54.545" E,53° 54' 8.245" N
HB-G36,WTG,001° 30' 5.868" E,53° 53' 56.278" N
HB-G38,WTG,001° 27' 30.432" E,53° 53' 48.597" N
HB-H28,WTG,001° 38' 9.721" E,53° 54' 23.516" N
HB-H31,WTG,001° 34' 39.577" E,53° 54' 52.637" N
HB-H34,WTG,001° 32' 18.640" E,53° 54' 24.268" N
HB-H37,WTG,001° 28' 6.627" E,53° 54' 26.710" N
HB-J28,WTG,001° 37' 37.361" E,53° 54' 52.648" N
HB-J30,WTG,001° 35' 47.178" E,53° 54' 57.829" N
HB-J33,WTG,001° 32' 35.286" E,53° 55' 19.426" N
HB-J34,WTG,001° 31' 23.153" E,53° 55' 14.062" N
HB-J35,WTG,001° 29' 59.914" E,53° 55' 15.151" N
HB-J36,WTG,001° 28' 28.926" E,53° 55' 23.164" N
HB-J37,WTG,001° 27' 30.502" E,53° 54' 59.063" N
HB-K27,WTG,001° 38' 50.251" E,53° 55' 27.940" N
HB-K28,WTG,001° 36' 48.685" E,53° 55' 36.441" N
HB-K35,WTG,001° 29' 5.460" E,53° 56' 3.943" N
HB-K36,WTG,001° 27' 52.347" E,53° 55' 55.917" N
HB-L07,WTG,002° 0' 21.280" E,53° 55' 40.546" N
HB-L10,WTG,001° 57' 37.133" E,53° 55' 53.863" N
HB-L13,WTG,001° 55' 1.715" E,53° 55' 59.170" N
HB-L27,WTG,001° 38' 20.383" E,53° 55' 54.825" N
HB-L28,WTG,001° 36' 4.446" E,53° 56' 16.216" N
HB-L30,WTG,001° 34' 26.565" E,53° 56' 10.266" N
HB-L33,WTG,001° 31' 40.776" E,53° 56' 8.331" N
HB-L36,WTG,001° 27' 27.891" E,53° 56' 17.804" N
HB-M07,WTG,001° 59' 49.863" E,53° 56' 9.138" N
HB-M10,WTG,001° 57' 4.659" E,53° 56' 23.373" N
HB-M13,WTG,001° 54' 32.437" E,53° 56' 25.740" N
HB-M16,WTG,001° 51' 33.463" E,53° 56' 52.708" N
HB-M18,WTG,001° 49' 24.078" E,53° 56' 33.844" N
HB-M23,WTG,001° 41' 54.110" E,53° 56' 45.382" N
HB-M24,WTG,001° 40' 45.087" E,53° 56' 34.765" N
HB-M25,WTG,001° 38' 42.641" E,53° 57' 12.129" N
HB-M27,WTG,001° 37' 4.161" E,53° 57' 3.385" N
HB-M28,WTG,001° 35' 20.538" E,53° 56' 55.668" N
HB-M30,WTG,001° 33' 31.792" E,53° 56' 59.436" N
HB-M31,WTG,001° 31' 53.992" E,53° 57' 21.261" N
HB-M33,WTG,001° 30' 49.387" E,53° 56' 54.400" N
HB-M34,WTG,001° 29' 19.481" E,53° 57' 4.898" N
HB-M35,WTG,001° 27' 53.518" E,53° 57' 8.344" N
HB-N05,WTG,002° 1' 32.490" E,53° 56' 51.750" N
HB-N07,WTG,001° 59' 14.561" E,53° 56' 41.251" N
HB-N10,WTG,001° 56' 16.295" E,53° 57' 7.296" N
HB-N13,WTG,001° 53' 59.500" E,53° 56' 55.616" N
HB-N16,WTG,001° 50' 55.702" E,53° 57' 26.901" N
HB-N18,WTG,001° 48' 32.413" E,53° 57' 20.576" N
HB-N23,WTG,001° 40' 59.560" E,53° 57' 34.528" N
HB-N24,WTG,001° 39' 16.120" E,53° 57' 54.759" N
HB-N27,WTG,001° 36' 6.352" E,53° 57' 55.331" N
HB-N28,WTG,001° 34' 25.111" E,53° 57' 45.434" N
HB-N33,WTG,001° 29' 55.131" E,53° 57' 43.002" N
HB-N34,WTG,001° 28' 32.070" E,53° 57' 47.334" N
HB-N35,WTG,001° 27' 15.262" E,53° 57' 42.563" N
HB-P03,WTG,002° 3' 6.811" E,53° 57' 42.076" N
HB-P05,WTG,002° 0' 49.891" E,53° 57' 30.521" N
HB-P07,WTG,001° 58' 32.017" E,53° 57' 19.928" N
HB-P10,WTG,001° 55' 29.472" E,53° 57' 49.790" N
HB-P13,WTG,001° 53' 6.314" E,53° 57' 43.830" N
HB-P16,WTG,001° 50' 14.360" E,53° 58' 4.314" N
HB-P18,WTG,001° 47' 51.495" E,53° 57' 57.562" N
HB-P25,WTG,001° 37' 50.092" E,53° 57' 59.387" N
HB-P27,WTG,001° 35' 11.445" E,53° 58' 44.630" N
HB-P29,WTG,001° 33' 33.711" E,53° 58' 31.547" N
HB-P30,WTG,001° 31' 51.850" E,53° 58' 29.054" N
HB-P31,WTG,001° 30' 29.022" E,53° 58' 37.386" N
HB-P34,WTG,001° 27' 57.601" E,53° 58' 18.169" N
HB-Q01,WTG,002° 5' 20.701" E,53° 57' 53.332" N
HB-Q05,WTG,002° 0' 9.688" E,53° 58' 7.088" N
HB-Q07,WTG,001° 57' 53.615" E,53° 57' 54.820" N
HB-Q10,WTG,001° 54' 49.397" E,53° 58' 26.136" N
HB-Q13,WTG,001° 52' 35.892" E,53° 58' 11.391" N
HB-Q16,WTG,001° 49' 32.907" E,53° 58' 41.805" N
HB-Q18,WTG,001° 47' 10.514" E,53° 58' 34.582" N
HB-Q21,WTG,001° 42' 14.523" E,53° 58' 55.276" N
HB-Q25,WTG,001° 38' 33.154" E,53° 58' 33.401" N
HB-Q26,WTG,001° 36' 53.090" E,53° 58' 50.609" N
HB-Q30,WTG,001° 31' 0.795" E,53° 59' 14.784" N
HB-Q31,WTG,001° 29' 44.445" E,53° 59' 17.286" N
HB-Q33,WTG,001° 28' 12.642" E,53° 59' 14.705" N
HB-Q34,WTG,001° 27' 27.198" E,53° 58' 45.352" N
HB-R01,WTG,002° 4' 50.024" E,53° 58' 27.533" N
HB-R02,WTG,002° 3' 15.459" E,53° 58' 29.302" N
HB-R03,WTG,002° 2' 19.655" E,53° 58' 25.013" N
HB-R18,WTG,001° 46' 34.829" E,53° 59' 6.800" N
HB-R20,WTG,001° 44' 0.294" E,53° 59' 10.873" N
HB-R22,WTG,001° 40' 43.025" E,53° 59' 20.604" N
HB-R23,WTG,001° 39' 7.380" E,53° 59' 15.372" N
HB-R25,WTG,001° 37' 38.428" E,53° 59' 22.585" N
HB-R27,WTG,001° 34' 24.063" E,53° 59' 27.139" N
HB-R29,WTG,001° 32' 39.857" E,53° 59' 19.825" N
HB-R34,WTG,001° 27' 2.582" E,53° 59' 7.353" N
HB-S03,WTG,002° 1' 46.269" E,53° 58' 43.573" N
HB-S04,WTG,002° 0' 9.203" E,53° 58' 51.171" N
HB-S05,WTG,001° 59' 21.550" E,53° 58' 50.845" N
HB-S06,WTG,001° 58' 14.051" E,53° 58' 59.837" N
HB-S07,WTG,001° 56' 42.226" E,53° 58' 59.629" N
HB-S08,WTG,001° 55' 58.117" E,53° 59' 6.335" N
HB-S09,WTG,001° 54' 51.178" E,53° 59' 8.020" N
HB-S11,WTG,001° 53' 39.952" E,53° 59' 9.800" N
HB-S12,WTG,001° 52' 17.088" E,53° 59' 10.565" N
HB-S14,WTG,001° 51' 4.059" E,53° 59' 10.904" N
HB-S15,WTG,001° 49' 38.882" E,53° 59' 15.968" N
HB-S16,WTG,001° 48' 20.833" E,53° 59' 26.034" N
HB-S26,WTG,001° 35' 57.551" E,53° 59' 40.475" N
HB-S27,WTG,001° 33' 54.442" E,53° 59' 53.699" N
HB-S29,WTG,001° 31' 56.093" E,53° 59' 59.028" N
HB-S30,WTG,001° 30' 8.840" E,54° 0' 1.286" N
HB-S31,WTG,001° 28' 59.550" E,53° 59' 57.443" N
HB-S33,WTG,001° 27' 17.254" E,54° 0' 4.207" N
HB-T17,WTG,001° 46' 17.658" E,53° 59' 42.758" N
HB-T18,WTG,001° 45' 13.419" E,53° 59' 51.873" N
HB-T20,WTG,001° 43' 34.937" E,54° 0' 2.073" N
HB-T21,WTG,001° 42' 32.665" E,54° 0' 7.485" N
HB-T22,WTG,001° 40' 52.140" E,54° 0' 10.121" N
HB-T23,WTG,001° 38' 8.886" E,54° 0' 7.942" N
HB-T25,WTG,001° 36' 39.150" E,54° 0' 15.815" N
HB-T26,WTG,001° 35' 16.475" E,54° 0' 17.330" N
HB-T27,WTG,001° 33' 25.843" E,54° 0' 19.331" N
HB-T29,WTG,001° 31' 31.133" E,54° 0' 21.377" N
HB-T30,WTG,001° 29' 44.281" E,54° 0' 23.254" N
HB-T31,WTG,001° 28' 29.220" E,54° 0' 24.558" N
HB-T33,WTG,001° 26' 52.613" E,54° 0' 26.216" N
HB-Z11,OSS,001° 37' 50.474" E,53° 56' 21.869" N
